student_id,age,gender,study_hours_per_day,attendance_percent,previous_marks,parent_education,internet_access,extra_classes
1,16,Male,7.5,85.0,72,Graduate,Yes,Yes
2,17,Female,2.0,55.0,42,Primary,No,No
3,18,Male,5.0,78.0,65,Secondary,Yes,No
4,15,Female,8.5,92.0,88,Postgraduate,Yes,Yes
5,17,Male,1.5,51.0,38,Primary,No,No
6,16,Female,6.0,80.0,70,Graduate,Yes,Yes
7,18,Male,3.0,62.0,48,Secondary,No,No
8,17,Female,9.0,95.0,91,Postgraduate,Yes,Yes
9,15,Male,2.5,58.0,45,Primary,No,No
10,16,Female,7.0,88.0,75,Graduate,Yes,Yes
11,17,Male,4.5,74.0,60,Secondary,Yes,Yes
12,18,Female,1.0,52.0,40,Primary,No,No
13,15,Male,6.5,83.0,77,Graduate,Yes,No
14,16,Female,8.0,90.0,85,Postgraduate,Yes,Yes
15,17,Male,2.5,60.0,44,Primary,No,No
16,18,Female,5.5,76.0,68,Secondary,Yes,Yes
17,15,Male,3.5,65.0,52,Graduate,No,No
18,16,Female,7.5,87.0,80,Postgraduate,Yes,Yes
19,17,Male,1.0,50.0,36,Primary,No,No
20,18,Female,6.0,82.0,73,Graduate,Yes,Yes
21,16,Male,4.0,72.0,58,Secondary,Yes,No
22,17,Female,9.5,96.0,93,Postgraduate,Yes,Yes
23,18,Male,2.0,54.0,41,Primary,No,No
24,15,Female,7.0,86.0,78,Graduate,Yes,Yes
25,16,Male,3.0,63.0,47,Secondary,No,No
26,17,Female,8.5,91.0,87,Postgraduate,Yes,Yes
27,18,Male,1.5,53.0,39,Primary,No,No
28,15,Female,5.0,77.0,66,Graduate,Yes,No
29,16,Male,6.5,84.0,74,Secondary,Yes,Yes
30,17,Female,2.5,57.0,43,Primary,No,No
31,18,Male,7.0,88.0,82,Postgraduate,Yes,Yes
32,15,Female,4.0,71.0,57,Graduate,Yes,No
33,16,Male,1.0,51.0,37,Primary,No,No
34,17,Female,8.0,89.0,84,Postgraduate,Yes,Yes
35,18,Male,3.5,66.0,53,Secondary,No,No
36,15,Female,6.0,81.0,71,Graduate,Yes,Yes
37,16,Male,2.0,56.0,41,Primary,No,No
38,17,Female,7.5,87.0,79,Postgraduate,Yes,Yes
39,18,Male,4.5,73.0,61,Secondary,Yes,No
40,15,Female,9.0,94.0,90,Postgraduate,Yes,Yes
41,16,Male,1.5,52.0,38,Primary,No,No
42,17,Female,5.5,78.0,67,Graduate,Yes,Yes
43,18,Male,3.0,64.0,49,Secondary,No,No
44,15,Female,8.0,90.0,86,Postgraduate,Yes,Yes
45,16,Male,2.5,59.0,44,Primary,No,No
46,17,Female,6.5,83.0,76,Graduate,Yes,Yes
47,18,Male,4.0,70.0,56,Secondary,Yes,No
48,15,Female,7.0,86.0,79,Postgraduate,Yes,Yes
